FISCAL_YEAR,CATEGORY,AGENCY,APPROPRIATED_FUND,COMPTROLLER_OBJECT,AMOUNT
2020,Operating Fund Transfers,Department of State Health Services,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$118,992 "
2020,Operating Fund Transfers,Department of State Health Services,5017 - Gr Acct-Asbestos Removal Licensure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$25,000,000 "
2020,Operating Fund Transfers,Department of State Health Services,5020 - Gr Acct-Workplace Chemicals List,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,806 "
2020,Operating Fund Transfers,Department of State Health Services,5021 - Gr Acct-Cert Of Mammography Systems,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,000,000 "
2020,Operating Fund Transfers,Department of State Health Services,5022 - Gr Acct - Oysters Sales,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,($572)
2020,Operating Fund Transfers,Department of State Health Services,5024 - Gr Acct-Food & Drug Registration,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$30,000,000 "
2020,Operating Fund Transfers,Department of State Health Services,5044 - Gr Acct-Perm Fd Health/Tobacco Ed/Enforc,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$187,604 "
2020,Operating Fund Transfers,Department of State Health Services,5045 - Gr Acct-Perm Fd Children & Public Health,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$61,843 "
2020,Operating Fund Transfers,Department of State Health Services,5046 - Gr Acct-Perm Fd For Ems And Trauma Care,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,075,329 "
2020,Operating Fund Transfers,Department of State Health Services,5048 - Gr Acct-Perm Hosp Cptl Imp/Ctr Infec Dis,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$46,964 "
2020,Operating Fund Transfers,Department of State Health Services,"5108 - Gr Acct - Ems, Trauma Fac, Trauma Sys",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,320,029 "
2020,Operating Fund Transfers,Department of State Health Services,5125 - Gr Acct - Childhood Immunization,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$59,151 "
2020,Operating Fund Transfers,Department of State Health Services,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,769,344 "
2020,Operating Fund Transfers,District Courts-Comptroller's Judiciary Section,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,000,000 "
2020,Operating Fund Transfers,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$901,363 "
2020,Operating Fund Transfers,General Land Office,0374 - Vlb-Veterans Financial Asst Prog Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,166,937 "
2020,Operating Fund Transfers,General Land Office,0522 - Veterans Land Program Admin Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$111,732 "
2020,Operating Fund Transfers,General Land Office,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$168,705,402 "
2020,Operating Fund Transfers,Governor-Fiscal,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,829,143 "
2020,Operating Fund Transfers,Governor-Fiscal,0224 - Gr Acct-Governors Ofc Federal Proj,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$22,520,527 "
2020,Operating Fund Transfers,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$27,896,741 "
2020,Operating Fund Transfers,Governor-Fiscal,0588 - Small Business Incubator Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,930,535 "
2020,Operating Fund Transfers,Governor-Fiscal,0589 - Texas Product Development Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,420,238 "
2020,Operating Fund Transfers,Governor-Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$160,103,975 "
2020,Operating Fund Transfers,Governor-Fiscal,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$68,116 "
2020,Operating Fund Transfers,Governor-Fiscal,0806 - Spaceport Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$32,248,965 "
2020,Operating Fund Transfers,Governor-Fiscal,0830 - Events Trust Fd For Certain Muni/Countys,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,328,755 "
2020,Operating Fund Transfers,Governor-Fiscal,0869 - Major Events Reimbursement Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,362,102 "
2020,Operating Fund Transfers,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$82,650,153 "
2020,Operating Fund Transfers,Governor-Fiscal,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,159,327 "
2020,Operating Fund Transfers,Governor-Fiscal,5012 - Gr Acct - Crime Stoppers Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$888,290 "
2020,Operating Fund Transfers,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$9,877,799 "
2020,Operating Fund Transfers,Governor-Fiscal,5107 - Gr Acct - Texas Enterprise,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$201,834,429 "
2020,Operating Fund Transfers,Governor-Fiscal,5153 - Gr Acct-Emergency Radio Infrastructure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,466,123 "
2020,Operating Fund Transfers,Governor-Fiscal,5161 - Gr-Acct Governor'S Univ Research Initive,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$60,586,503 "
2020,Operating Fund Transfers,Governor-Fiscal,5164 - Gr Acct-Youth Diversion,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,193,705 "
2020,Operating Fund Transfers,Governor-Fiscal,5170 - Gr Acct-Evidence Testing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$767,492 "
2020,Operating Fund Transfers,Governor-Fiscal,5174 - Gr Acct-Drug Court,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,820,891 "
2020,Operating Fund Transfers,Health and Human Services Commission,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$257,743 "
2020,Operating Fund Transfers,Health and Human Services Commission,0543 - Gr Acct-Tx Capital Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$147,533 "
2020,Operating Fund Transfers,Health and Human Services Commission,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$265,287,574 "
2020,Operating Fund Transfers,Health and Human Services Commission,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,273 "
2020,Operating Fund Transfers,Health and Human Services Commission,0857 - Assisted Living Facility Trust Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$500,000 "
2020,Operating Fund Transfers,Health and Human Services Commission,0992 - Nursing/Convales Home Trst Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,000,000 "
2020,Operating Fund Transfers,Health and Human Services Commission,5018 - Gr Acct - Home Health Services,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,000,000 "
2020,Operating Fund Transfers,Health and Human Services Commission,7658 - Tpfa Go Cml Paper Ser2008 Dads Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$443,817 "
2020,Operating Fund Transfers,Health and Human Services Commission,7660 - Tpfa Go Cml Paper Ser2008 Dshs Prj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$516,913 "
2020,Operating Fund Transfers,Lamar State College-Orange,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,897 "
2020,Operating Fund Transfers,Lamar State College-Port Arthur,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,319,458 "
2020,Operating Fund Transfers,Lamar University,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,418,585 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"($11,529)"
2020,Operating Fund Transfers,Parks and Wildlife Department,"0009 - Gr Account-Game, Fish, Water Safety",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$25,280,760 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0064 - Gr Acct-State Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,310,264 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0223 - Gr Acct-Fed Land/Water Conservation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$17,414 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0467 - Gr Acct-Tx Recreation & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,672,638 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0506 - Gr Acct-Non-Game/Endanger Spec,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$124,487 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0544 - Gr Acct-Lifetime Lic Endowmt,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$128,289,821 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,865,490 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0679 - Gr Acct-Artificial Reef,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$11,470,749 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$81,188 "
2020,Operating Fund Transfers,Parks and Wildlife Department,0885 - State Parks Endowment Trust Account,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$656,538 "
2020,Operating Fund Transfers,Parks and Wildlife Department,5004 - Gr Acct-Pks/ Wildlife Conserv Atn/Capt'L,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$27,992,771 "
2020,Operating Fund Transfers,Parks and Wildlife Department,5150 - Gr Acct-Large Count & Munic Rec & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,469,025 "
2020,Operating Fund Transfers,Parks and Wildlife Department,5166 - Gr Acct-Deferred Maintenance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$220,980 "
2020,Operating Fund Transfers,Parks and Wildlife Department,7647 - Tpfa Go Coml Papr Ser2008 Tpwd Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$66,999 "
2020,Operating Fund Transfers,Parks and Wildlife Department,7654 - Tpfa Go Cml Papr Ser2008 Tpwd Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"($1,336,473)"
2020,Operating Fund Transfers,Parks and Wildlife Department,7659 - Tpfa Go Cml Papr Ser2008 Tpwd Proj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$425,099 "
2020,Operating Fund Transfers,Prairie View A&M University,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$62,295,009 "
2020,Operating Fund Transfers,Prairie View A&M University,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$281,280 "
2020,Operating Fund Transfers,Railroad Commission of Texas,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$33,340,454 "
2020,Operating Fund Transfers,Soil and Water Conservation Board,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$33,000,000 "
2020,Operating Fund Transfers,State Preservation Board,0804 - Governor'S Mansion Renewal Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$809,711 "
2020,Operating Fund Transfers,State Preservation Board,0849 - Bob Bullock Tx St His Museum Local Tr Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$691,538 "
2020,Operating Fund Transfers,State Preservation Board,0854 - Capital Renewal Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,139,890 "
2020,Operating Fund Transfers,State Preservation Board,0879 - Capitol Local Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,038,412 "
2020,Operating Fund Transfers,State Preservation Board,0902 - State Cemetery Preservation Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,233,206 "
2020,Operating Fund Transfers,Texas A&M University (Main University),0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,891,722 "
2020,Operating Fund Transfers,Texas A&M University System,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$91,508 "
2020,Operating Fund Transfers,Texas A&M University System Health Science Center,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$57,721,863 "
2020,Operating Fund Transfers,Texas A&M University-Central Texas,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,765 "
2020,Operating Fund Transfers,Texas A&M University-Texarkana,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$17,547 "
2020,Operating Fund Transfers,Texas Commission on Environmental Quality,0088 - Gr-Acct Low-Level Radioactive Waste,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$31,642,370 "
2020,Operating Fund Transfers,Texas Commission on Environmental Quality,5071 - Gr Acct-Emissions Reduction Plan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,092,897,259 "
2020,Operating Fund Transfers,Texas Department of Criminal Justice,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$104,164,000 "
2020,Operating Fund Transfers,Texas Department of Criminal Justice,5060 - Gr Acct-Private Sector Prison Industries,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$196,335 "
2020,Operating Fund Transfers,Texas Department of Housing and Community Affairs,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,000,000 "
2020,Operating Fund Transfers,Texas Department of Public Safety,0222 - Gr Acct-Dept Pub Safety Federal,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$945,214 "
2020,Operating Fund Transfers,Texas Department of Public Safety,0501 - Gr Acct-Motorcycle Education,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$109,595 "
2020,Operating Fund Transfers,Texas Department of Public Safety,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$405,894 "
2020,Operating Fund Transfers,Texas Department of Public Safety,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,418,012 "
2020,Operating Fund Transfers,Texas Department of Public Safety,5013 - Gr Acct - Breath Alcohol Testing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$45,448 "
2020,Operating Fund Transfers,Texas Department of Public Safety,5153 - Gr Acct-Emergency Radio Infrastructure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$24,301,128 "
2020,Operating Fund Transfers,Texas Department of Public Safety,7629 - Tpfa Go Coml Paper Ser2008 Dps Prj 1a Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,988,700 "
2020,Operating Fund Transfers,Texas Department of Public Safety,7656 - Tpfa Go Cml Papr Ser2008 Dps Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,426,029 "
2020,Operating Fund Transfers,Texas Education Agency,0002 - Available School Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$141,522,410 "
2020,Operating Fund Transfers,Texas Education Agency,0003 - State Technology Instructional Materials,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$411,130,342 "
2020,Operating Fund Transfers,Texas Education Agency,0193 - Gr Account-Foundation School,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$64,984,306 "
2020,Operating Fund Transfers,Texas Education Agency,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$642,649,953 "
2020,Operating Fund Transfers,Texas Emergency Services Retirement System,0976 - Tx Emergency Services Retirement Tr Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$637,346 "
2020,Operating Fund Transfers,Texas Facilities Commission,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,758,070 "
2020,Operating Fund Transfers,Texas Facilities Commission,5166 - Gr Acct-Deferred Maintenance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$94,373,643 "
2020,Operating Fund Transfers,Texas Facilities Commission,7516 - Lease Rev&Ref Bonds (Tfc) T/E Proj Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,000,000 "
2020,Operating Fund Transfers,Texas Facilities Commission,7800 - Tpfa Rv Com Pap Srs 16 Tfc Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,702,472 "
2020,Operating Fund Transfers,Texas Higher Education Coordinating Board,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$60,928 "
2020,Operating Fund Transfers,Texas Higher Education Coordinating Board,0387 - Texas Opportunity Plan Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$65,634,338 "
2020,Operating Fund Transfers,Texas Higher Education Coordinating Board,0388 - Tx Coll Student Loan Bond I&S,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$113,079,434 "
2020,Operating Fund Transfers,Texas Higher Education Coordinating Board,0601 - Student Loan Auxiliary Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$154,753,489 "
2020,Operating Fund Transfers,Texas Higher Education Coordinating Board,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$22 
2020,Operating Fund Transfers,Texas Higher Education Coordinating Board,0824 - Perm Fd Hied Nursing/Allied/Other Health,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,608,123 "
2020,Operating Fund Transfers,Texas Higher Education Coordinating Board,0825 - Perm Fd Minority Hlth Research/Education,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,456,438 "
2020,Operating Fund Transfers,Texas Higher Education Coordinating Board,5103 - Gr Acct - Texas B-On-Time Student Loan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$131,646,727 "
2020,Operating Fund Transfers,Texas Higher Education Coordinating Board,5144 - Gr Acct - Physician Educ Loan Repmt Prog,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,961,938 "
2020,Operating Fund Transfers,Texas Historical Commission,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$33,081,663 "
2020,Operating Fund Transfers,Texas Historical Commission,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$888 
2020,Operating Fund Transfers,Texas Historical Commission,7213 - Tpfa Go Series 2009b Thc Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,575,363 "
2020,Operating Fund Transfers,Texas Historical Commission,7650 - Tpfa Go Cml Paper Ser2008 Thc Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$59,842 "
2020,Operating Fund Transfers,Texas Historical Commission,7662 - Tpfa Go Cml Paper Ser2008 Thc Proj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$406,851 "
2020,Operating Fund Transfers,Texas Juvenile Justice Department,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,547,000 "
2020,Operating Fund Transfers,Texas Lottery Commission,0895 - Lotto Prize Trust Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$230,255,942 "
2020,Operating Fund Transfers,Texas Lottery Commission,5025 - Gr Acct-Lottery,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$28,953,415 "
2020,Operating Fund Transfers,Texas Public Finance Authority,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,000 "
2020,Operating Fund Transfers,Texas Public Finance Authority,0064 - Gr Acct-State Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$676,215 "
2020,Operating Fund Transfers,Texas Public Finance Authority,0733 - Tpfa Master Lease Interest/Sinking Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,098,227 "
2020,Operating Fund Transfers,Texas Public Finance Authority,5044 - Gr Acct-Perm Fd Health/Tobacco Ed/Enforc,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,714,603 "
2020,Operating Fund Transfers,Texas Public Finance Authority,5045 - Gr Acct-Perm Fd Children & Public Health,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,856,976 "
2020,Operating Fund Transfers,Texas Public Finance Authority,5046 - Gr Acct-Perm Fd For Ems And Trauma Care,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,856,992 "
2020,Operating Fund Transfers,Texas Public Finance Authority,7013 - Tpfa Go Ser 2002a Int & Sink Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,468 "
2020,Operating Fund Transfers,Texas Public Finance Authority,7020 - Tpfa Go Ser2002b Coml Pap Colonia Rebate,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$120,519 "
2020,Operating Fund Transfers,Texas Public Finance Authority,7035 - Tpfa Go Coml Paper Series 2008 Rebate Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$48 
2020,Operating Fund Transfers,Texas Public Finance Authority,7201 - Tpfa Go Ser 2002a Coml Paper Tdh Proj A,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,701 "
2020,Operating Fund Transfers,Texas Public Finance Authority,7350 - Tpfa Rev Refund Ser2015e Dshs I&S Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$29 
2020,Operating Fund Transfers,Texas Public Finance Authority,7356 - Tpfa Lease Rev&Ref (Tfc) T/E I&S Funds,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$30,248 "
2020,Operating Fund Transfers,Texas Public Finance Authority,7652 - Tpfa Go Cml Paper Ser2008 Tfc Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,125 "
2020,Operating Fund Transfers,Texas Southern University,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,000,000 "
2020,Operating Fund Transfers,Texas Southern University,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,975 "
2020,Operating Fund Transfers,Texas State Library and Archives Commission,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,285,162 "
2020,Operating Fund Transfers,Texas Tech University,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$25,081,035 "
2020,Operating Fund Transfers,Texas Veterans Commission,0368 - Fund For Veterans' Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,512,549 "
2020,Operating Fund Transfers,Texas Water Development Board,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$9,951,160 "
2020,Operating Fund Transfers,Texas Water Development Board,0175 - Texas Infrastructure Resiliency Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$686,690,522 "
2020,Operating Fund Transfers,Texas Water Development Board,0194 - Flood Infrastructure Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$793,000,000 "
2020,Operating Fund Transfers,Texas Water Development Board,0301 - Rural Water Assistance Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,453,148 "
2020,Operating Fund Transfers,Texas Water Development Board,0302 - Water Infrastructure Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,415,224 "
2020,Operating Fund Transfers,Texas Water Development Board,0330 - Floodplain Management Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$151,759 "
2020,Operating Fund Transfers,Texas Water Development Board,0356 - Economicaly Distrs Areas Cl Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$680,106 "
2020,Operating Fund Transfers,Texas Water Development Board,0357 - Economic Distrs Area Cl I&S Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$29,795 "
2020,Operating Fund Transfers,Texas Water Development Board,0358 - Agrig Water Conservation Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$9,068,049 "
2020,Operating Fund Transfers,Texas Water Development Board,0361 - State Water Implementation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$192,200,709 "
2020,Operating Fund Transfers,Texas Water Development Board,0370 - Tx Water Development Fd Ii Clearance Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$67,578,469 "
2020,Operating Fund Transfers,Texas Water Development Board,0371 - Tx Water Development Fd Ii,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$33,578,390 "
2020,Operating Fund Transfers,Texas Water Development Board,0372 - Tx Water Devel Fd Ii Int & Sink Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$98,039 "
2020,Operating Fund Transfers,Texas Water Development Board,0480 - Water Assistance Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,065,993 "
2020,Operating Fund Transfers,Texas Workforce Commission,0925 - Career School/College Tuition Trust Acct,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$66,759 "
2020,Operating Fund Transfers,Texas Workforce Commission,5043 - Gr Acct-Business Enterprise Prog Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,002,413 "
2020,Operating Fund Transfers,University of Houston,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,431,236 "
2020,Operating Fund Transfers,University of Houston,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,288,883 "
2020,Operating Fund Transfers,University of Houston-Clear Lake,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$83,668 "
2020,Operating Fund Transfers,University of Houston-Downtown,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,000,000 "
2020,Operating Fund Transfers,University of Houston-Victoria,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,703,828 "
2020,Operating Fund Transfers,University of Texas at Austin,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,049,499 "
2020,Operating Fund Transfers,University of Texas at Dallas,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,478,717 "
2020,Operating Fund Transfers,University of Texas Health Science Center at Houston,0822 - Perm Endowmnt Fd Ut Reg Acad Health Ctr,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,226,285 "
2020,Operating Fund Transfers,University of Texas M.D. Anderson Cancer Center,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,740 "
2020,Operating Fund Transfers,University of Texas Southwestern Medical Center,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$22,628 "
